# epoch	training_loss	training_acc	validation_loss	validation_acc
629	0.0019	0.9990	0.1867	0.9793
630	0.0052	0.9979	0.3135	0.9652
631	0.0058	0.9992	0.4736	0.9351
632	0.0058	0.9987	0.1934	0.9758
633	0.0054	0.9987	0.1913	0.9781
634	0.0056	0.9977	0.1662	0.9652
635	0.0086	0.9974	0.1730	0.9750
636	0.0039	0.9990	0.2027	0.9679
637	0.0048	0.9982	0.1789	0.9758
638	0.0029	0.9984	0.1798	0.9730
639	0.0022	0.9987	0.2993	0.9730
640	0.0037	0.9987	0.3801	0.9472
641	0.0027	0.9984	0.3591	0.9542
642	0.0032	0.9984	0.1646	0.9797
643	0.0024	0.9992	0.1903	0.9742
644	0.0073	0.9984	0.2153	0.9742
645	0.0033	0.9987	0.2199	0.9722
646	0.0027	0.9977	0.2075	0.9742
647	0.0115	0.9974	0.1775	0.9718
648	0.0018	0.9995	0.2375	0.9683
649	0.0030	0.9990	0.2808	0.9671
650	0.0033	0.9995	0.2103	0.9683
651	0.0046	0.9982	0.2198	0.9718
652	0.0037	0.9984	0.1913	0.9773
653	0.0045	0.9982	0.1581	0.9761
654	0.0027	0.9992	0.1733	0.9761
655	0.0047	0.9984	0.2445	0.9746
656	0.0023	0.9987	0.2726	0.9722
657	0.0034	0.9992	0.3151	0.9605
658	0.0017	0.9990	0.3109	0.9679
659	0.0039	0.9982	0.2416	0.9754
660	0.0065	0.9979	0.1983	0.9715
661	0.0091	0.9984	0.2082	0.9754
662	0.0023	0.9992	0.2192	0.9750
663	0.0024	0.9990	0.1999	0.9746
664	0.0075	0.9992	0.2276	0.9656
665	0.0062	0.9990	0.2143	0.9707
666	0.0027	0.9995	0.1834	0.9738
667	0.0023	0.9995	0.2259	0.9711
668	0.0024	0.9987	0.1934	0.9750
669	0.0055	0.9977	0.1726	0.9754
670	0.0025	0.9984	0.2496	0.9734
671	0.0047	0.9982	0.2239	0.9761
672	0.0072	0.9982	0.2146	0.9730
673	0.0082	0.9984	0.2199	0.9715
674	0.0054	0.9984	0.2511	0.9668
675	0.0042	0.9990	0.2462	0.9695
676	0.0018	0.9992	0.2724	0.9660
677	0.0013	0.9995	0.2946	0.9668
678	0.0036	0.9987	0.2225	0.9738
679	0.0045	0.9992	0.3001	0.9652
680	0.0054	0.9979	0.2135	0.9695
681	0.0060	0.9992	0.2336	0.9761
682	0.0029	0.9992	0.2281	0.9742
683	0.0111	0.9979	0.1599	0.9761
684	0.0046	0.9974	0.2050	0.9644
685	0.0065	0.9979	0.1915	0.9687
686	0.0073	0.9984	0.1881	0.9742
687	0.0031	0.9990	0.2050	0.9769
688	0.0013	0.9995	0.3793	0.9503
689	0.0070	0.9982	0.2072	0.9699
690	0.0016	0.9997	0.2336	0.9769
691	0.0032	0.9982	0.3117	0.9613
692	0.0022	0.9995	0.2599	0.9648
693	0.0056	0.9982	0.2394	0.9699
694	0.0054	0.9979	0.2231	0.9730
695	0.0022	0.9984	0.2242	0.9695
696	0.0030	0.9982	0.2126	0.9750
697	0.0019	0.9990	0.2678	0.9738
698	0.0040	0.9984	0.2722	0.9761
699	0.0116	0.9982	0.1734	0.9769
700	0.0028	0.9990	0.2192	0.9738
701	0.0019	0.9995	0.2290	0.9734
702	0.0034	0.9990	0.2016	0.9777
703	0.0023	0.9987	0.2866	0.9683
704	0.0065	0.9982	0.2472	0.9683
705	0.0012	0.9995	0.3138	0.9687
706	0.0046	0.9984	0.1998	0.9761
707	0.0050	0.9992	0.2068	0.9746
708	0.0054	0.9984	0.3508	0.9644
709	0.0037	0.9984	0.2210	0.9742
710	0.0045	0.9990	0.1547	0.9761
711	0.0033	0.9992	0.1926	0.9758
712	0.0028	0.9990	0.2021	0.9781
713	0.0028	0.9992	0.2358	0.9668
714	0.0020	0.9995	0.2487	0.9754
715	0.0011	0.9997	0.2604	0.9734
716	0.0054	0.9984	0.2791	0.9722
717	0.0019	0.9990	0.2498	0.9761
718	0.0012	0.9995	0.2463	0.9722
719	0.0014	0.9995	0.3040	0.9718
720	0.0062	0.9969	0.2272	0.9773
721	0.0070	0.9977	0.2047	0.9734
722	0.0023	0.9990	0.2381	0.9758
723	0.0060	0.9990	0.2909	0.9718
724	0.0029	0.9987	0.3325	0.9683
725	0.0016	0.9990	0.2507	0.9730
726	0.0050	0.9990	0.2737	0.9711
727	0.0022	0.9987	0.2844	0.9722
728	0.0014	0.9997	0.3354	0.9687
729	0.0012	0.9995	0.3469	0.9722
730	0.0039	0.9995	0.3101	0.9730
731	0.0044	0.9992	0.2801	0.9715
732	0.0090	0.9982	0.2106	0.9718
733	0.0039	0.9979	0.2649	0.9730
734	0.0026	0.9990	0.2173	0.9758
735	0.0012	0.9995	0.2432	0.9730
736	0.0026	0.9995	0.2268	0.9769
737	0.0032	0.9992	0.2386	0.9738
738	0.0027	0.9995	0.2799	0.9758
739	0.0029	0.9987	0.2508	0.9738
740	0.0013	0.9995	0.2375	0.9773
741	0.0041	0.9992	0.4430	0.9511
742	0.0024	0.9992	0.2301	0.9699
743	0.0025	0.9992	0.2673	0.9730
744	0.0013	0.9990	0.2433	0.9758
745	0.0016	0.9995	0.2700	0.9769
746	0.0071	0.9984	0.2130	0.9765
747	0.0038	0.9987	0.2435	0.9773
748	0.0021	0.9992	0.2683	0.9695
749	0.0056	0.9977	0.2141	0.9742
750	0.0010	0.9997	0.2794	0.9632
751	0.0009	0.9997	0.2139	0.9793
752	0.0010	0.9997	0.3080	0.9648
753	0.0064	0.9974	0.2461	0.9742
754	0.0031	0.9982	0.2528	0.9726
755	0.0070	0.9987	0.2184	0.9746
756	0.0009	0.9992	0.2630	0.9734
757	0.0019	0.9995	0.2230	0.9742
758	0.0021	0.9995	0.4561	0.9515
759	0.0015	0.9990	0.3592	0.9648
760	0.0024	0.9990	0.2500	0.9781
761	0.0113	0.9971	0.3132	0.9625
762	0.0057	0.9982	0.2961	0.9574
763	0.0053	0.9987	0.1770	0.9758
764	0.0043	0.9990	0.1897	0.9715
765	0.0030	0.9995	0.2442	0.9738
766	0.0062	0.9977	0.2133	0.9758
767	0.0035	0.9987	0.1860	0.9789
768	0.0027	0.9990	0.2471	0.9730
769	0.0028	0.9990	0.1984	0.9730
770	0.0027	0.9990	0.2146	0.9761
771	0.0028	0.9990	0.2135	0.9750
772	0.0030	0.9990	0.1988	0.9769
773	0.0020	0.9995	0.2617	0.9722
774	0.0026	0.9997	0.2793	0.9734
775	0.0038	0.9987	0.2125	0.9754
776	0.0041	0.9977	0.2065	0.9746
777	0.0023	0.9987	0.2308	0.9754
778	0.0024	0.9990	0.2665	0.9703
779	0.0034	0.9990	0.2430	0.9754
780	0.0041	0.9982	0.2462	0.9711
781	0.0058	0.9992	0.1621	0.9820
782	0.0036	0.9984	0.2107	0.9750
783	0.0012	1.0000	0.3081	0.9730
784	0.0011	0.9992	0.3174	0.9750
785	0.0027	0.9990	0.2839	0.9718
786	0.0083	0.9974	0.2434	0.9715
787	0.0029	0.9992	0.2589	0.9711
788	0.0090	0.9966	0.2249	0.9664
789	0.0015	0.9995	0.2264	0.9726
790	0.0026	0.9992	0.2584	0.9726
791	0.0016	0.9997	0.2355	0.9781
792	0.0016	0.9992	0.2740	0.9711
793	0.0022	0.9987	0.3188	0.9628
794	0.0084	0.9990	0.2169	0.9738
795	0.0024	0.9987	0.2726	0.9722
796	0.0044	0.9982	0.2340	0.9703
797	0.0026	0.9987	0.2460	0.9734
798	0.0022	0.9990	0.2309	0.9722
799	0.0041	0.9992	0.2405	0.9750
800	0.0039	0.9982	0.2176	0.9758
801	0.0034	0.9984	0.1953	0.9738
802	0.0013	0.9992	0.2346	0.9738
803	0.0047	0.9984	0.2277	0.9750
804	0.0021	0.9992	0.2570	0.9722
805	0.0028	0.9987	0.2466	0.9703
806	0.0022	0.9987	0.2655	0.9758
807	0.0015	0.9992	0.3561	0.9621
808	0.0055	0.9977	0.2546	0.9715
809	0.0025	0.9990	0.2744	0.9683
810	0.0019	0.9992	0.2995	0.9769
811	0.0030	0.9995	0.2747	0.9738
812	0.0037	0.9987	0.2769	0.9707
813	0.0009	0.9995	0.2798	0.9738
814	0.0054	0.9982	0.3209	0.9597
815	0.0023	0.9990	0.2942	0.9758
816	0.0078	0.9974	0.3582	0.9578
817	0.0021	0.9992	0.1963	0.9793
818	0.0028	0.9997	0.2257	0.9777
819	0.0023	0.9987	0.2052	0.9761
820	0.0022	0.9997	0.2200	0.9742
821	0.0017	0.9997	0.2415	0.9761
822	0.0018	0.9992	0.3249	0.9679
823	0.0035	0.9984	0.2999	0.9707
824	0.0072	0.9984	0.2146	0.9746
825	0.0020	0.9992	0.2703	0.9738
826	0.0027	0.9982	0.2983	0.9750
827	0.0016	0.9995	0.2314	0.9773
828	0.0021	0.9987	0.2414	0.9746
829	0.0046	0.9974	0.2662	0.9754
830	0.0022	0.9987	0.3155	0.9738
831	0.0050	0.9987	0.2433	0.9695
832	0.0030	0.9990	0.2830	0.9730
833	0.0041	0.9990	0.2653	0.9742
834	0.0015	0.9995	0.2686	0.9738
835	0.0034	0.9987	0.2049	0.9777
836	0.0032	0.9992	0.2686	0.9679
837	0.0020	0.9990	0.2477	0.9761
838	0.0031	0.9990	0.2702	0.9746
839	0.0023	0.9990	0.2654	0.9754
840	0.0022	0.9987	0.3123	0.9699
841	0.0046	0.9979	0.3906	0.9687
842	0.0021	0.9984	0.2790	0.9754
843	0.0011	0.9992	0.2680	0.9746
844	0.0024	0.9987	0.2451	0.9758
845	0.0020	0.9987	0.2325	0.9754
846	0.0054	0.9982	0.2331	0.9754
847	0.0031	0.9990	0.2670	0.9715
848	0.0013	0.9992	0.2279	0.9785
849	0.0011	0.9995	0.3680	0.9671
850	0.0006	1.0000	0.2903	0.9691
851	0.0008	1.0000	0.3160	0.9715
852	0.0022	0.9995	0.3026	0.9711
853	0.0028	0.9992	0.2590	0.9746
854	0.0030	0.9987	0.2803	0.9765
855	0.0033	0.9990	0.2823	0.9675
856	0.0011	0.9995	0.2716	0.9754
857	0.0021	0.9987	0.3318	0.9746
858	0.0062	0.9984	0.3115	0.9758
859	0.0026	0.9995	0.2487	0.9734
860	0.0043	0.9990	0.3089	0.9734
861	0.0081	0.9984	0.3308	0.9660
862	0.0045	0.9982	0.2218	0.9726
863	0.0035	0.9992	0.2609	0.9734
864	0.0017	0.9995	0.2426	0.9711
865	0.0029	0.9979	0.1904	0.9773
866	0.0019	0.9992	0.1880	0.9773
867	0.0032	0.9987	0.2582	0.9722
868	0.0035	0.9987	0.2278	0.9754
869	0.0024	0.9984	0.2186	0.9742
870	0.0023	0.9984	0.2576	0.9754
871	0.0037	0.9992	0.2469	0.9715
872	0.0079	0.9977	0.2203	0.9718
873	0.0053	0.9987	0.2356	0.9754
874	0.0014	0.9997	0.2910	0.9656
875	0.0013	0.9992	0.3027	0.9711
876	0.0023	0.9992	0.3272	0.9668
877	0.0013	0.9995	0.2738	0.9746
878	0.0010	0.9995	0.2232	0.9761
879	0.0037	0.9990	0.2859	0.9683
880	0.0023	0.9992	0.2454	0.9730
881	0.0024	0.9992	0.2350	0.9765
882	0.0015	0.9997	0.2253	0.9777
883	0.0036	0.9992	0.3314	0.9660
884	0.0054	0.9977	0.2509	0.9711
885	0.0013	1.0000	0.2287	0.9789
886	0.0010	0.9997	0.2103	0.9789
887	0.0012	0.9995	0.2704	0.9715
888	0.0048	0.9992	0.2411	0.9754
889	0.0020	0.9995	0.2969	0.9722
890	0.0044	0.9984	0.3255	0.9660
891	0.0044	0.9990	0.2478	0.9765
892	0.0079	0.9990	0.2307	0.9738
893	0.0029	0.9987	0.1911	0.9789
894	0.0015	0.9992	0.3435	0.9652
895	0.0039	0.9982	0.3054	0.9718
896	0.0012	0.9992	0.2434	0.9738
897	0.0014	0.9995	0.2630	0.9718
898	0.0048	0.9992	0.2341	0.9742
899	0.0026	0.9992	0.2401	0.9750
900	0.0030	0.9987	0.2713	0.9695
901	0.0045	0.9992	0.2536	0.9738
902	0.0013	0.9995	0.2185	0.9750
903	0.0026	0.9990	0.2431	0.9750
904	0.0019	0.9992	0.2089	0.9754
905	0.0018	0.9995	0.2229	0.9765
906	0.0037	0.9987	0.2549	0.9754
907	0.0016	0.9987	0.3434	0.9664
908	0.0021	0.9990	0.2860	0.9738
909	0.0028	0.9995	0.2483	0.9746
910	0.0014	0.9995	0.2739	0.9730
911	0.0018	0.9992	0.2754	0.9722
912	0.0013	0.9997	0.3705	0.9671
913	0.0010	1.0000	0.3511	0.9679
914	0.0053	0.9987	0.2829	0.9703
915	0.0034	0.9987	0.2752	0.9738
916	0.0068	0.9987	0.2476	0.9742
917	0.0061	0.9982	0.2526	0.9707
918	0.0051	0.9995	0.2031	0.9761
919	0.0016	0.9995	0.1978	0.9699
920	0.0015	0.9992	0.1933	0.9773
921	0.0016	0.9995	0.2277	0.9754
922	0.0013	0.9995	0.2030	0.9801
923	0.0032	0.9992	0.2368	0.9781
924	0.0046	0.9977	0.2213	0.9797
925	0.0031	0.9992	0.2277	0.9761
926	0.0028	0.9990	0.2803	0.9699
927	0.0044	0.9984	0.3079	0.9718
928	0.0006	1.0000	0.2735	0.9656
929	0.0057	0.9984	0.1906	0.9754
930	0.0018	0.9995	0.2224	0.9765
931	0.0051	0.9979	0.2247	0.9761
932	0.0025	0.9987	0.2560	0.9726
933	0.0015	0.9992	0.3799	0.9671
934	0.0020	0.9992	0.5101	0.9456
935	0.0023	0.9990	0.3056	0.9738
936	0.0070	0.9982	0.2249	0.9742
937	0.0030	0.9992	0.2437	0.9730
938	0.0019	0.9995	0.2119	0.9758
939	0.0009	1.0000	0.2351	0.9773
940	0.0043	0.9984	0.2311	0.9726
941	0.0030	0.9990	0.2323	0.9758
942	0.0020	0.9987	0.2490	0.9769
943	0.0019	0.9995	0.2557	0.9730
944	0.0027	0.9987	0.2462	0.9722
945	0.0019	0.9995	0.2796	0.9687
946	0.0007	1.0000	0.2352	0.9761
947	0.0027	0.9990	0.2626	0.9691
948	0.0013	0.9995	0.2682	0.9758
949	0.0061	0.9987	0.9654	0.8866
950	0.0013	0.9997	0.2591	0.9758
951	0.0018	0.9990	0.2664	0.9734
952	0.0083	0.9982	0.2686	0.9715
953	0.0038	0.9982	0.2465	0.9679
954	0.0019	0.9992	0.2156	0.9769
955	0.0015	0.9990	0.2503	0.9777
956	0.0032	0.9990	0.3559	0.9632
957	0.0038	0.9987	0.2334	0.9761
958	0.0041	0.9992	0.2203	0.9773
959	0.0026	0.9990	0.2276	0.9738
960	0.0018	0.9995	0.2411	0.9769
961	0.0050	0.9979	0.2522	0.9750
962	0.0037	0.9990	0.1958	0.9793
963	0.0035	0.9984	0.2076	0.9793
964	0.0097	0.9984	0.3179	0.9558
965	0.0030	0.9992	0.3020	0.9574
966	0.0013	0.9995	0.1903	0.9726
967	0.0078	0.9984	0.2262	0.9754
968	0.0027	0.9987	0.2002	0.9789
969	0.0035	0.9990	0.2074	0.9769
970	0.0014	0.9995	0.2309	0.9785
971	0.0027	0.9990	0.2572	0.9695
972	0.0018	0.9995	0.2197	0.9781
973	0.0014	0.9997	0.2183	0.9718
974	0.0024	0.9997	0.2727	0.9730
975	0.0020	0.9987	0.2916	0.9742
976	0.0015	0.9997	0.3736	0.9691
977	0.0013	0.9992	0.2626	0.9781
978	0.0057	0.9987	0.2368	0.9773
979	0.0024	0.9990	0.3481	0.9664
980	0.0025	0.9992	0.3174	0.9668
981	0.0034	0.9984	0.5137	0.9363
982	0.0100	0.9977	0.2507	0.9718
983	0.0029	0.9990	0.4140	0.9515
984	0.0021	0.9990	0.2654	0.9660
985	0.0026	0.9990	0.2221	0.9734
986	0.0056	0.9982	0.1899	0.9781
987	0.0016	0.9990	0.2201	0.9765
988	0.0014	0.9992	0.2478	0.9754
989	0.0019	0.9997	0.3341	0.9742
990	0.0019	0.9995	0.3136	0.9703
991	0.0051	0.9990	0.2282	0.9742
992	0.0017	0.9987	0.2412	0.9777
993	0.0035	0.9990	0.2414	0.9742
994	0.0018	0.9995	0.2775	0.9750
995	0.0026	0.9995	0.2489	0.9742
996	0.0015	0.9990	0.3054	0.9625
997	0.0089	0.9987	0.3735	0.9449
998	0.0013	0.9992	0.2722	0.9758
999	0.0026	0.9992	0.2221	0.9769
1000	0.0028	0.9990	0.2320	0.9726
