# epoch	training_loss	training_acc	validation_loss	validation_acc
145	0.0429	0.9883	0.1254	0.9648
146	0.0420	0.9877	0.1939	0.9562
147	0.0434	0.9890	0.1244	0.9687
148	0.0369	0.9896	0.1288	0.9632
149	0.0465	0.9862	0.1371	0.9566
150	0.0383	0.9911	0.0907	0.9750
151	0.0481	0.9875	0.1595	0.9496
152	0.0373	0.9893	0.1725	0.9691
153	0.0417	0.9880	0.0997	0.9738
154	0.0467	0.9888	0.1057	0.9675
155	0.0345	0.9872	0.1124	0.9742
156	0.0438	0.9867	0.0990	0.9746
157	0.0442	0.9885	0.1240	0.9683
158	0.0318	0.9888	0.2936	0.9355
159	0.0425	0.9888	0.1216	0.9628
160	0.0430	0.9880	0.1541	0.9542
161	0.0373	0.9890	0.1309	0.9699
162	0.0295	0.9911	0.1130	0.9726
163	0.0352	0.9893	0.2039	0.9468
164	0.0389	0.9883	0.1165	0.9621
165	0.0347	0.9903	0.1284	0.9640
166	0.0320	0.9903	0.2307	0.9449
167	0.0390	0.9885	0.1696	0.9574
168	0.0340	0.9893	0.1305	0.9660
169	0.0304	0.9909	0.2113	0.9550
170	0.0358	0.9896	0.1254	0.9668
171	0.0343	0.9898	0.2386	0.9542
172	0.0355	0.9896	0.1422	0.9699
173	0.0330	0.9903	0.1893	0.9593
174	0.0305	0.9906	0.1384	0.9715
175	0.0293	0.9901	0.1691	0.9691
176	0.0397	0.9885	0.1274	0.9699
177	0.0322	0.9898	0.1104	0.9746
178	0.0328	0.9909	0.1242	0.9699
179	0.0296	0.9906	0.1428	0.9675
180	0.0308	0.9911	0.1862	0.9574
181	0.0277	0.9909	0.1725	0.9535
182	0.0318	0.9914	0.1087	0.9718
183	0.0375	0.9906	0.1234	0.9738
184	0.0325	0.9903	0.1549	0.9625
185	0.0283	0.9924	0.1889	0.9671
186	0.0219	0.9932	0.1448	0.9668
187	0.0338	0.9909	0.1471	0.9707
188	0.0261	0.9911	0.1195	0.9711
189	0.0275	0.9911	0.1413	0.9691
190	0.0361	0.9898	0.1751	0.9574
191	0.0376	0.9906	0.1204	0.9605
192	0.0347	0.9911	0.1246	0.9668
193	0.0264	0.9927	0.1888	0.9558
194	0.0192	0.9953	0.1265	0.9738
195	0.0303	0.9903	0.1495	0.9679
196	0.0272	0.9930	0.1720	0.9632
197	0.0318	0.9917	0.1257	0.9687
198	0.0273	0.9914	0.1365	0.9707
199	0.0182	0.9937	0.1885	0.9617
200	0.0348	0.9896	0.1422	0.9601
201	0.0247	0.9927	0.1591	0.9652
202	0.0216	0.9927	0.1798	0.9628
203	0.0283	0.9932	0.1311	0.9683
204	0.0298	0.9911	0.1476	0.9640
205	0.0197	0.9932	0.1354	0.9715
206	0.0305	0.9903	0.1240	0.9589
207	0.0273	0.9924	0.1543	0.9628
208	0.0261	0.9919	0.1835	0.9539
209	0.0304	0.9906	0.1908	0.9601
210	0.0205	0.9932	0.1585	0.9656
211	0.0294	0.9930	0.1202	0.9742
212	0.0254	0.9937	0.1684	0.9660
